original.name	chr2n
Carex_tincta|MAI|spm00001342	74
Carex_melanantha|KGZ|spm00008019	50
Carex_tenuiflora|MAN|spm00001313	60
Carex_abscondita|MRY|spm00000676	48
Carex_gravida|TEN|spm00000970	48
Carex_trinervis|SPA|spm00003778	83.75
Carex_lowei|MDR|spm00002858	76
Carex_atherodes|BRC|spm00001849	64.66666667
Carex_laticeps|JAP|NCBI_Waterway_3656	58
Carex_jamesii|ALA|spm00000630	68
Carex_pigra|MSI|spm00001785	56
Carex_clavispica|EHM|spm00005903	84
Carex_pilosa|YUG|spm00000563	43.33333333
Carex_williamsii|YUK|spm00001969	34
Carex_prairea|BRC|spm00001951	66
Carex_molesta|DEL|spm00001070	68.8
Carex_lapponica|ASK|spm00001641	56
Carex_scabrata|QUE|NCBI_Waterway_3706	54
Carex_falcata|CHC|spm00005715	48
Carex_squarrosa|ARK|spm00001281	56
Carex_ericetorum|ITA|spm00000551	30.16666667
Carex_laevivaginata|ALA|spm00000993	49.33333333
Carex_arctata|WIS|spm00000731	54
Carex_hochstetteriana|AZO|NCBI_UPOS_3551	76
Carex_crebriflora||spm00001043	42
Carex_gracilescens|KTY|spm00000927	37.75
Carex_silicea|DEL|spm00001232	75
Carex_sparganioides|DEL|spm00001289	48
Carex_elata_ssp_elata|SPA|spm00003134	75.13636364
Carex_woodii|IOW|spm00001790	46.66666667
Carex_praecox|HUN|spm00002176	58
Carex_tomentosa|SPA|spm00000568	47.71428571
Carex_backii|BRC|spm00002007	66
Carex_canariensis|CNY|spm00002291	58
Carex_sartwellii|BRC|spm00001982	62
Carex_stenantha_var_taisetsuensis|SAK|spm00006798	51
Carex_tetrastachya|TEX|spm00001269	64.83333333
Carex_flacca_ssp_flacca|GRB|NCBI_Hill_1959	70
Carex_hirtifolia|QUE|spm00001475	50
Carex_brachystachys|SPA|NCBI_HeRB_1939	40
Carex_albursina|KTY|spm00001384	44
Carex_swanii|ARK|spm00001304	54
Carex_crawei|NFL|spm00001471	52.33333333
Carex_tetanica|MAN|spm00001314	56
Carex_socialis|ALA|spm00001288	58
Carex_torta||NCBI_Dragon_1288	66
Carex_atlantica_ssp_capillacea|PEN|spm00005432	54
Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622	70
Carex_mairei|SPA|spm00004367	68.68421053
Carex_agastachys|AUT|spm00001197	58
Carex_hebecarpa|EHM|spm00005738	54
Carex_oedipostyla|SPA|spm00000587	68
Carex_cristatella|KTY|spm00000800	70
Carex_physodes|TZK|spm00005427	36.66666667
Carex_adusta|ABT|spm00002072	78
Carex_pseudobrizoides|POL|spm00002177	57.33333333
Carex_atlantica_ssp_atlantica|FLA|spm00000718	44
Carex_humilis|GER|NCBI_WM_3755	48.66666667
Carex_plantaginea|TEN|spm00001893	51
Carex_alata|ALA|spm00000687	74
Carex_grisea|KTY|spm00000656	56
Carex_peckii|ASK|spm00001625	36
Carex_hirsutella|DEL|spm00000935	52
Carex_drymophila|JAP|NCBI_Waterway_3672	70
Carex_vesicata||NCBI_AUTHOR_Shekhovtsov_614	54
Carex_willdenowii|KTY|spm00000624	72.66666667
Carex_merrittfernaldii|MAN|spm00001051	70.66666667
Carex_grayi|TEN|spm00000924	53
Carex_opaca|OKL|spm00001133	66.8
Carex_firma|ITA|spm00000520	38.85714286
Carex_brevicollis|TCS|spm00003478	56
Carex_styloflexa|GEO|spm00001299	48
Carex_neesii|EHM|spm00005194	116
Carex_mitrata_var_mitrata|CHS|spm00000085	68.5
Carex_alopecoidea|ILL|spm00001728	50
Carex_impressinervia|MSI|spm00001784	46
Carex_songorica|TZK|spm00003384	82
Carex_communis_var_communis|QUE|NCBI_Waterway_3720	28
Carex_austrocaroliniana|NCA|spm00001729	58
Carex_fuliginosa_ssp_misandra|ASK|spm00001627	40
Carex_gifuensis|KOR|spm00000331	42
Carex_siccata|ONT|spm00002070	70
Carex_peregrina|MDR|spm00000564	62
Carex_inanis|EHM|spm00005746	42
Carex_laxiflora|MIC|spm00001023	46
Carex_sempervirens_ssp_sempervirens|SWI|spm00000540	32
Carex_liparocarpos_ssp_liparocarpos|SPA|spm00000556	38.5
Carex_aggregata|KTY|spm00000685	52
Carex_microrhyncha|KAN|spm00004537	32
Carex_hyalina|MSI|spm00000912	74
Carex_riparia|GRB|NCBI_Blackstock_SM00004	73
Carex_kitaibeliana|YUG|spm00000539	36.8
Carex_striatula|DEL|spm00001264	38
Carex_nigromarginata|ALA|spm00001121	34
Carex_pseudocyperus|MIC|spm00001179	66
Carex_runssoroensis|UGA|spm00000227	50
Carex_cumberlandensis|ARK|spm00000817	46
Carex_boryana|REU|spm00004377	68
Carex_concinna|MAN|NCBI_Kuzmina_2468	54
Carex_amphibola|ALA|spm00000654	56
Carex_retroflexa|DEL|spm00001190	41
Carex_acutiformis|TVL|spm00002122	64.66666667
Carex_sprengelii|NBR|spm00001766	42
Carex_bicknellii|INI|spm00000744	76
Carex_disticha|ONT|spm00005395	62
Carex_acuta|ITA|spm00003084	83.68181818
Carex_planispicata|MRY|spm00000666	50
Carex_caroliniana|ALA|spm00000815	48
Carex_glaucodea|INI|spm00001525	44
Carex_camposii|SPA|spm00004363	71.2
Carex_depressa_ssp_basilaris|SPA|spm00000547	66
Carex_uhligii|NAT|spm00003194	26
Carex_alba|SPA|spm00000584	54
Carex_media|NBR|spm00001772	56
Carex_cryptolepis|ILL|spm00001730	64
Carex_lucorum|NCA|spm00001736	40
Carex_flaccosperma|LOU|spm00000671	46
Carex_straminea|DEL|spm00001252	74
Carex_mesochorea|ALA|spm00001097	48
Carex_petasata|UTA|spm00001192	74
Carex_typhina|LOU|spm00001330	54
Carex_meadii|MAN|spm00001742	56
Carex_emoryi|DEL|spm00000885	72
Carex_umbrosa_ssp_umbrosa|BUL|spm00000537	63
Carex_planata|JAP|spm00005429	66
Carex_gracillima|ALA|spm00000922	52.33333333
Carex_reuteriana_ssp_mauritanica|SPA|spm00003162	73.78571429
Carex_arctogena|CAL|NCBI_CAL_55	50
Carex_digitalis|NWY|NCBI_Waterway_3702	48
Carex_capitata|KRA|spm00002036	50
Carex_aquatilis_var_minor||NCBI_Bennett_893	76.26666667
Carex_mitchelliana|ALA|spm00001101	66
Carex_hirta|PEN|spm00000947	112.2307692
Carex_decomposita|DEL|spm00000836	64
Carex_reniformis|GEO|spm00001187	80
Carex_hystericina|ARK|spm00001081	58
Carex_halleriana|SPA|spm00000557	52.22222222
Carex_davalliana|FIN|spm00003596	46
Carex_normalis|ALA|spm00001059	69
Carex_granularis|MAN|spm00001407	39.55555556
Carex_canescens_ssp_disjuncta|NFL|spm00001496	54
Carex_onoei|CHM|spm00004513	58
Carex_oligosperma|NWH|spm00001112	76
Carex_argyrantha|MRY|spm00000734	74.66666667
Carex_tenera|MAN|spm00001750	54.54545455
Carex_cruenta|CHQ|spm00005700	44
Carex_frigida|SPA|spm00000521	56.77777778
Carex_cephalophora|MRY|spm00000828	49
Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584	74
Carex_magellanica_ssp_magellanica|CLS|spm00003206	58.33333333
Carex_ferruginea|SWI|spm00000531	48.83333333
Carex_houghtoniana|MAN|spm00001446	56
Carex_paniculata_ssp_paniculata|GRC|spm00006108	61
Carex_bostrychostigma|JAP|spm00003784	45
Carex_oligocarpa|ARK|spm00001532	54
Carex_debilis|OKL|spm00000863	56.5
Carex_lucennoiberica|SPA|spm00006015	60
Carex_lacustris|MAN|spm00000991	74
Carex_leptonervia|MAN|spm00001394	37
Carex_folliculata|DEL|spm00000911	56
Carex_radiata|MIC|spm00001198	58
Carex_disperma|ASK|spm00001652	70
Carex_nemostachys|CHS|spm00000088	83
Carex_appropinquata|GER|spm00002248	64
Carex_corrugata|ALA|spm00000670	58
Carex_baldensis|SWI|spm00005242	89.33333333
Carex_gynandra|DEL|spm00000964	68
Carex_novaeangliae|MAI|spm00001061	31
Carex_gynocrates|ASK|spm00001630	51.25
Carex_bushii|DEL|spm00000777	54.66666667
Carex_eburnea|MIC|spm00000842	54
Carex_albolutescens|OKL|spm00000694	65
Carex_umbrosa_ssp_sabynensis||NCBI_Murray_2912	52.8
Carex_atratiformis|ABT|spm00001751	54
Carex_hamlinii|NZS|NCBI_AUTHOR_Gardner_333	88
Carex_mannii_ssp_friesiorum|KEN|spm00004355	70
Carex_castanea|NFL|spm00001479	54
