original.name;LI.length.mp
Carex_mendocinensis|ORE|spm00001673;35
Carex_merrittfernaldii|MAN|spm00001051;11
Carex_mertensii|ASK|spm00001056;25
Carex_mesochorea|ALA|spm00001097;15
Carex_metallica|JAP|NCBI_AUTHOR_Senni_586;35
Carex_meyeriana|MON|spm00008024;8.5
Carex_michauxiana|MAN|spm00001748;20
Carex_michelii|HUN|spm00002175;15
Carex_microcarpa|COR|spm00007912;92.5
Carex_microchaeta|YUK|spm00001946;16.5
Carex_microdonta|MSI|spm00001420;25
Carex_microglochin|NOR|spm00001705;0
Carex_micropoda|ASK|spm00001632;0
Carex_microptera|COL|spm00001880;7
Carex_microrhyncha|KAN|spm00004537;5.5
Carex_microtricha|SAK|spm00006763;15
Carex_minor||spm00004412;0
Carex_mira|KOR|NCBI_Jung_2372;27.5
Carex_misera|TEN|spm00001764;22.5
Carex_missouriensis|ILL|spm00001067;11
Carex_mitchelliana|ALA|spm00001101;55
Carex_mitrata_var_mitrata|CHS|spm00000085;10
Carex_molesta|DEL|spm00001070;11
Carex_molestiformis|ARK|spm00001073;9.5
Carex_mollicula|JAP|NCBI_Waterway_3667;17.5
Carex_mollissima||NCBI_AUTHOR_Shekhovtsov_618;22.5
Carex_montana|YUG|spm00000543;6.5
Carex_morrowii|JAP|spm00006680;25
Carex_mucronata|ITA|spm00000534;7.5
Carex_muehlenbergii_var_muehlenbergii|WIS|spm00002520;27.5
Carex_multicostata|CAL|spm00001093;11
Carex_multispiculata|NAT|spm00003765;46.5
Carex_muricata_ssp_muricata|POL|spm00004400;7.5
Carex_muskingumensis|MIC|spm00001115;20
Carex_myosuroides|FRA|spm00005196;0
Carex_myosurus|VIE|spm00007888;65
Carex_nardina|QUE|spm00001510;0
Carex_nebraskensis||NCBI_Janeway_2159;42.5
Carex_nemostachys|CHS|spm00000088;80
Carex_nemurensis|SAK|spm00006074;6.5
Carex_nervata|KOR|spm00000010;11.5
Carex_neurocarpa|PRM|spm00006483;6.5
