original.name;bio12_Mean
Carex_insaniae_var_papillaticulmis|JAP|NCBI_Waterway_3659;2057.127273
Carex_insignis|EHM|spm00005755;2019
Carex_integra|CAL|spm00000977;964.6976744
Carex_interior|MIC|spm00000972;805.9609164
Carex_interrupta|ORE|spm00001666;1450.964286
Carex_intumescens|MAI|spm00000975;1044.242054
Carex_inversa|NZ|NCBI_AUTHOR_Gardner_286;827.6684211
Carex_ischnostachya|CHS|spm00000062;1856.089362
Carex_jackiana_ssp_parciflora|JAP|NCBI_Waterway_3674;1601.153061
Carex_jacutica||NCBI_AUTHOR_Shekhovtsov_622;434
Carex_jaluensis|KOR|NCBI_Jung_2361;1083.25
Carex_jamesii|ALA|spm00000630;1008.186813
Carex_kaloides|NZ|NCBI_AUTHOR_Gardner_321;1270.526316
Carex_kermadecensis|NZ|NCBI_AUTHOR_Gardner_287;1456
Carex_killickii|NAT|spm00007793;839.0909091
Carex_kiotensis|JAP|NCBI_AUTHOR_Senni_584;1898.857955
Carex_kirkii||spm00004417;1634.785714
Carex_kitaibeliana|YUG|spm00000539;917.1290323
Carex_kobomugi|VRG|spm00000979;1693.04386
Carex_krausei|ASK|spm00001639;583.6814516
Carex_kwangsiensis|CH|NCBI_Liuo_2555;1671
Carex_lachenalii_ssp_lachenalii|ASK|spm00001640;438.266129
Carex_lacustris|MAN|spm00000991;855.3580247
Carex_laeviconica|TEN|spm00001887;694.9833333
Carex_laeviculmis|CAL|spm00001397;1485.290909
Carex_laevigata|SPA|spm00002938;989.9611111
Carex_laevivaginata|ALA|spm00000993;1086.421296
Carex_lainzii|SPA|spm00004371;512.8571429
Carex_lancea|CPP|spm00003764;963.2857143
Carex_lanceolata|CHM|spm00006393;1369.797297
Carex_lapponica|ASK|spm00001641;555.2550143
Carex_lasiocarpa_var_americana|ASK|spm00000997;782.6791444
Carex_lasiocarpa_var_lasiocarpa|SPA|spm00000576;793.5
Carex_latebracteata|ARK|spm00001383;1370.615385
Carex_laticeps|JAP|NCBI_Waterway_3656;1137.5
Carex_laxa|ASK|spm00001643;532.4984127
Carex_laxiculmis_var_laxiculmis|PEN|spm00001403;1085.666667
Carex_laxiflora|MIC|spm00001023;1061.691038
Carex_leavenworthii|KTY|spm00005410;1120.047059
Carex_ledebouriana|MAG|spm00003592;464.8571429
Carex_leersii|NET|spm00004394;820.0425273
Carex_leiorhyncha|KOR|spm00002471;808.9705882
Carex_lenta|KOR|NCBI_Jung_2368;1817.821256
Carex_lenticularis||NCBI_Dragon_1281;961.6599553
Carex_lepidocarpa_ssp_jemtlandica|NOR|spm00003056;635.8470588
Carex_lepidocarpa_ssp_lepidocarpa|SPA|spm00003215;677.0947867
Carex_lepidocarpa_ssp_nevadensis|SPA|NCBI_Modesto_2872;1021.307692
Carex_leporina|WIS|spm00001780;929.5032258
Carex_leporinella|WAS|spm00001613;911.0535714
Carex_leptalea|MIC|spm00001032;956.362878
Carex_leptonervia|MAN|spm00001394;941.8617512
Carex_leptopoda|BRC|spm00001399;1318.529801
Carex_libera|NZ|NCBI_AUTHOR_Gardner_329;2810.3125
Carex_limosa|ASK|spm00001035;820.3206522
Carex_lingii|CH|NCBI_Yang_3761;1595
Carex_liparocarpos_ssp_liparocarpos|SPA|spm00000556;814.1126761
Carex_lithophila|KOR|spm00000328;552.4333333
Carex_litorosa|NZ|NCBI_AUTHOR_Gardner_288;1235.966667
Carex_livida|NWJ|spm00001410;817.410455
Carex_loliacea|ASK|spm00001650;605.425641
Carex_longicruris|EHM|spm00005770;1440.666667
Carex_longifructus||spm00004426;2671.409091
Carex_longii|ARK|spm00001001;1368.114219
Carex_longipes|EHM|spm00005772;1558
Carex_lowei|MDR|spm00002858;837.2285714
Carex_lucennoiberica|SPA|spm00006015;953.4
Carex_lucorum|NCA|spm00001736;931.8
Carex_ludwigii|NAT|spm00003207;861.5909091
Carex_lupuliformis|FLA|spm00001011;1170.516779
Carex_lupulina|MRY|spm00001078;1047.708551
Carex_lurida|FLA|spm00001082;1173.338369
Carex_lyngbyei|ORE|spm00001085;1214.101103
Carex_maackii|JAP|spm00002491;1481.96
Carex_mackenziei|ASK|spm00001657;902.5242347
Carex_macloviana||spm00002163;711.130217
Carex_macrandrolepis|KOR|spm00000337;2062.75
Carex_macrocephala|ASK|spm00001434;1511.493671
Carex_macrochaeta|ORE|spm00001671;1252.515267
Carex_macrolepis|ITA|spm00000536;895.05
Carex_macroprophylla|CHC|spm00003400;451.6603774
Carex_magellanica_ssp_irrigua|ASK|spm00001637;862.0607843
Carex_magellanica_ssp_magellanica|CLS|spm00003206;898.8888889
Carex_mairei|SPA|spm00004367;685.8307087
Carex_makinoensis|JAP|spm00006665;2290.941176
Carex_manhartii|GEO|spm00001761;1741.166667
Carex_mannii_ssp_friesiorum|KEN|spm00004355;1574
Carex_mannii_ssp_mannii|GGI|spm00002860;882
Carex_maorica|NZ|NCBI_AUTHOR_Gardner_289;1494.25
