original.name;Culm.length.mp
Carex_dimorpholepis|KOR|NCBI_Na_2916;57.5
Carex_dioica|SWE|spm00004523;22.5
Carex_dipsacea|NZS|NCBI_AUTHOR_Gardner_338;52.5
Carex_disperma|ASK|spm00001652;37.5
Carex_dissitiflora|JAP|spm00007871;60
Carex_distachya|SPA|spm00000588;30
Carex_distans|GRC|spm00000844;60
Carex_disticha|ONT|spm00005395;75
Carex_divisa|MRY|spm00002064;30
Carex_divulsa|NET|spm00004392;42.5
Carex_dolomitica|NZ|NCBI_AUTHOR_Gardner_282;50.5
Carex_doniana|CHS|spm00000047;45
Carex_donnellsmithii||NCBI_Ton_3535;75
Carex_drucei||spm00004418;12.5
Carex_drymophila|JAP|NCBI_Waterway_3672;65
Carex_durieui|SPA|spm00004386;40
Carex_duriuscula|ASK|spm00001653;22.5
Carex_ebenea|ARI|spm00001870;34
Carex_eburnea|MIC|spm00000842;19
Carex_echinata_ssp_echinata|ASK|spm00001633;50
Carex_echinochloe_ssp_echinohloe|KEN|spm00000186;45
Carex_echinodes|WIS|spm00002699;65
Carex_ecklonii|CPP|spm00004378;22.5
Carex_edura|NZS|spm00002184;8.5
Carex_edwardsiana|TEX|spm00002142;20
Carex_egmontiana||spm00004416;32.5
Carex_elata_ssp_elata|SPA|spm00003134;70
Carex_eleusinoides|ASK|spm00001623;22.5
Carex_elongata|RUC|spm00005949;50
Carex_emoryi|DEL|spm00000885;72.5
Carex_enervis||NCBI_Ho_2089;20
Carex_ensifolia|CHQ|spm00005713;37.5
Carex_erebus||spm00004424;7
Carex_ericetorum|ITA|spm00000551;17.5
Carex_erythrovaginata|NZ|spm00005096;57.5
Carex_esenbeckii|EHM|spm00005193;17.5
Carex_exilis|DEL|spm00000887;46
Carex_extensa|VRG|spm00001853;45
Carex_fedia|PAK|spm00005718;42.5
Carex_ferruginea|SWI|spm00000531;40
Carex_festucacea|TEX|spm00000892;72.5
Carex_feta|CAL|spm00000893;74
Carex_filicina|VIE|spm00007873;65
Carex_filifolia_var_filifolia|CAL|spm00001432;20
Carex_filipes|JAP|NCBI_Waterway_3666;42.5
Carex_fimbriata|SWI|spm00000552;27.5
Carex_firma|ITA|spm00000520;12.5
Carex_fischeri_ssp_fischeri|ETH|spm00004352;65
Carex_fissirostris|MOR|spm00004379;12.5
Carex_flacca_ssp_erythrostachys|BAL|spm00000524;35
Carex_flacca_ssp_flacca|GRB|NCBI_Hill_1959;35
Carex_flaccosperma|LOU|spm00000671;35
Carex_flagellifera|NZ|NCBI_AUTHOR_Gardner_283;55
Carex_flava|NFL|spm00001483;42.5
Carex_flaviformis|NZ|spm00007227;12.5
Carex_foenea|BRC|spm00002000;70
Carex_foetida|SWI|spm00000565;17.5
Carex_foliosissima|JAP|NCBI_Waterway_3660;27.5
Carex_folliculata|DEL|spm00000911;107.5
Carex_forficula|KOR|NCBI_Na_2984;65
Carex_formosa|ILL|spm00001732;55
