generation,N_shifts,logPrior,logLik,eventRate,acceptRate
8580000,11,-128.023,-6080.84,8.94191,0.487
8581000,20,-128.663,-6043.26,20.6318,0.495333
8582000,18,-130.208,-6050.7,16.2263,0.474
8583000,20,-125.177,-6059.99,19.9525,0.502
8584000,21,-121.194,-6058.65,18.4696,0.482
8585000,10,-121.163,-6107.04,7.91751,0.488
8586000,10,-122.503,-6109.39,6.26053,0.498
8587000,19,-118.187,-6086.84,11.7174,0.47
8588000,28,-122.329,-6049.74,29.0727,0.4775
8589000,31,-130.436,-6058.93,23.2129,0.462
8590000,30,-125.923,-6069.39,28.5044,0.49
8591000,32,-120.199,-6058.74,27.3632,0.493
8592000,42,-106.868,-6072.45,37.6433,0.496
8593000,27,-118.209,-6038.82,28.1059,0.49
8594000,27,-125.488,-6060.28,31.3729,0.504
8595000,28,-122.17,-6067.08,26.7866,0.495
8596000,33,-117.051,-6064.5,31.6264,0.502
8597000,21,-120.422,-6076.52,20.2251,0.498
8598000,13,-120.767,-6072.13,11.1526,0.494556
8599000,17,-154.344,-6076.2,20.0839,0.493667
8600000,10,-126.783,-6071.24,8.31588,0.486333
8601000,16,-119.266,-6077.58,14.7518,0.529
8602000,15,-122.149,-6075.05,10.4922,0.482
8603000,15,-122.364,-6083.96,9.62937,0.481
8604000,13,-124.15,-6086.4,14.8557,0.466
8605000,16,-112.098,-6087.32,13.2105,0.499
8606000,18,-122.131,-6079.12,16.4602,0.4892
8607000,14,-125.464,-6074.71,21.8081,0.488
8608000,23,-125.66,-6050.67,25.1838,0.488
8609000,25,-119.64,-6052.25,20.2729,0.498
8610000,24,-120.225,-6031.2,23.1612,0.487
8611000,28,-113.287,-6047.05,28.1101,0.473
8612000,21,-118.578,-6120.1,21.6915,0.485714
8613000,22,-110.143,-6086.59,19.9212,0.5
8614000,19,-116.219,-6082.08,14.1678,0.498
8615000,19,-119.604,-6057.26,12.8017,0.488
8616000,17,-118.242,-6056.87,10.686,0.484
8617000,33,-149.106,-6065.27,29.93,0.484722
8618000,7,-132.892,-6107.99,9.77317,0.4933
8619000,9,-134.477,-6094.18,6.48757,0.505
8620000,6,-133.302,-6088.2,6.61766,0.472
8621000,34,-152.766,-6089.18,36.8741,0.469
8622000,23,-121.094,-6074.26,31.9465,0.478909
8623000,28,-115.138,-6066.4,27.6919,0.475
8624000,28,-115.788,-6048.41,34.007,0.491
8625000,32,-108.277,-6056.17,29.3987,0.469
8626000,31,-110.118,-6043.42,39.9462,0.474
8627000,32,-113.266,-6037.65,41.5679,0.465
8628000,31,-110.829,-6045.08,36.6343,0.47
8629000,26,-118.498,-6058.72,26.3863,0.487
8630000,23,-115.306,-6056.55,22.952,0.513
8631000,23,-121.848,-6076.85,22.9799,0.476
8632000,30,-115.316,-6064.96,29.0615,0.486
8633000,29,-123.499,-6073.22,25.6376,0.484
8634000,32,-125.166,-6038.57,25.1648,0.471
8635000,31,-115.686,-6007.38,29.3765,0.463
8636000,30,-124.589,-5985.33,28.3485,0.51
8637000,34,-122.072,-6005.39,33.49,0.473
8638000,33,-111.616,-6006.45,42.862,0.466
8639000,33,-110.835,-6021.69,28.5951,0.501
8640000,36,-109.682,-6015.44,34.8924,0.485
8641000,36,-108.032,-5999.44,34.8924,0.438
8642000,41,-98.2783,-6006.51,30.1336,0.458
8643000,44,-97.8182,-6005.3,38.8942,0.481
8644000,39,-102.428,-5999.64,43.4293,0.492
8645000,34,-102.79,-6010.02,27.2302,0.46
8646000,34,-105.942,-6001.06,31.2915,0.462
8647000,28,-110.904,-6018.29,32.8839,0.494
8648000,28,-110.987,-6004.8,25.4295,0.489
8649000,25,-112.062,-5995.56,30.2418,0.452
8650000,22,-116.143,-6012.67,28.2236,0.44
8651000,22,-117.505,-6003.82,18.8049,0.484
8652000,27,-120.166,-6005.13,32.3393,0.458
8653000,28,-116.199,-5993.09,28.559,0.454
8654000,30,-116.915,-5996.7,26.9743,0.464
8655000,23,-109.283,-5991.82,21.3866,0.471
8656000,27,-110.425,-5997.16,34.9715,0.48
8657000,21,-124.381,-6043.4,22.2845,0.488707
8658000,21,-124.169,-6040.75,22.1511,0.484
8659000,26,-131.215,-6041.81,22.8754,0.484
8660000,22,-138.191,-6048.32,20.098,0.494
8661000,18,-135.256,-6052.68,17.5622,0.488
8662000,17,-130.175,-6046.79,19.5958,0.49
8663000,22,-125.751,-6049.37,19.2872,0.49
8664000,18,-126.413,-6031.42,12.6907,0.491
8665000,16,-127.64,-6062.77,13.5831,0.491178
8666000,19,-120.462,-6002.72,21.2383,0.4752
8667000,14,-128.886,-6053.99,24.4204,0.456
8668000,16,-122.865,-6052.55,12.5295,0.463
8669000,23,-134.221,-6076.76,20.3057,0.462
8670000,26,-165.334,-6089.01,26.8211,0.481878
8671000,27,-161.094,-6056.8,22.2032,0.476
8672000,31,-147.619,-6058.77,35.8674,0.465
8673000,30,-145.807,-6063.08,23.1039,0.494
8674000,33,-145.51,-6071.67,21.9202,0.476
8675000,16,-129.682,-6108.8,14.0281,0.486909
8676000,29,-148.137,-6090.81,31.062,0.474
8677000,16,-144.121,-6107.04,15.4966,0.4685
8678000,14,-141.097,-6104.51,16.9531,0.466
8679000,13,-140.443,-6099.33,8.72879,0.471
8680000,12,-139.494,-6088.02,7.90078,0.501
8681000,25,-154.762,-6093.11,23.1957,0.4764
8682000,25,-161.429,-6054.63,25.8701,0.478
8683000,12,-129.576,-6078.16,13.1189,0.481
8684000,18,-160.999,-6085.5,16.8885,0.486
8685000,25,-165.813,-6061.23,22.3615,0.48
8686000,30,-160.081,-6045.07,22.066,0.513
8687000,21,-129.581,-6068.91,15.0334,0.49925
8688000,16,-135.916,-6090.5,12.7284,0.499
8689000,18,-133.801,-6065.07,15.4143,0.48
8690000,21,-139.91,-6065.73,17.0893,0.4903
8691000,24,-138.095,-6088.28,20.0327,0.485
8692000,20,-135.499,-6090.77,22.0314,0.487
8693000,23,-129.949,-6092.89,20.865,0.487
8694000,25,-129.246,-6106.36,18.3548,0.498
8695000,26,-129.549,-6087.08,28.3758,0.490833
8696000,25,-128.144,-6064.71,23.9968,0.482467
8697000,24,-151.854,-6068.93,21.2738,0.492091
8698000,16,-125.219,-6104.31,12.9888,0.502333
8699000,22,-168.157,-6087.04,17.7126,0.4895
8700000,22,-168.693,-6060.38,24.4689,0.47
8701000,20,-150.925,-6055.28,15.1987,0.5
8702000,18,-153.479,-6055.02,12.7017,0.505
8703000,16,-137.829,-6097.38,19.8329,0.496556
8704000,19,-135.411,-6101.96,23.1691,0.493
8705000,22,-160.974,-6077.48,20.2292,0.480667
8706000,19,-167.552,-6069.63,16.2818,0.494
8707000,16,-161.842,-6077.85,21.7444,0.479
8708000,12,-121.442,-6079.26,10.2048,0.4911
8709000,18,-159.549,-6059.23,14.5854,0.4975
8710000,16,-160.823,-6061.24,25.4874,0.488
8711000,20,-156.457,-6064.48,13.86,0.522
8712000,19,-152.926,-6047.98,16.2346,0.482
8713000,16,-156.618,-6063.11,13.3318,0.46
8714000,16,-159.971,-6079.95,11.9016,0.489
8715000,14,-158.802,-6087.22,15.8902,0.452
8716000,12,-161.839,-6057.6,9.6075,0.461
8717000,15,-133.42,-6040.2,13.0361,0.490889
8718000,17,-129.578,-6072.01,16.8964,0.489
8719000,15,-128.529,-6086.35,18.6324,0.488
8720000,19,-131.537,-6080.68,23.412,0.497
8721000,15,-143.079,-6093.42,11.0536,0.5
8722000,12,-136.364,-6090.53,16.6931,0.476
8723000,18,-159.318,-6061.12,16.3361,0.486714
8724000,20,-132.005,-6123.65,25.0585,0.4964
8725000,25,-121.901,-6115.77,22.6338,0.498
8726000,21,-117.014,-6080.27,22.7044,0.4917
8727000,24,-118.361,-6065.94,23.1613,0.479
8728000,18,-127.72,-6072.65,15.8938,0.484
8729000,19,-127.669,-6077.36,29.7915,0.49
8730000,20,-120.994,-6076.64,17.5272,0.503
8731000,13,-127.855,-6072.05,20.7276,0.4902
8732000,16,-127.034,-6072.34,8.81955,0.502
8733000,16,-131.6,-6088.42,10.5728,0.489875
8734000,18,-138.206,-6103.34,13.612,0.487636
8735000,14,-128.289,-6102.25,11.1826,0.491333
8736000,22,-139.576,-6099.71,13.9863,0.479
8737000,23,-127.796,-6077.82,24.5622,0.4825
8738000,24,-130.71,-6056.9,21.3006,0.491
8739000,24,-126.506,-6045.75,29.8514,0.495
8740000,19,-120.789,-6042.22,23.2096,0.495
8741000,23,-127.501,-6055.85,13.5418,0.492909
8742000,24,-151.909,-6079.75,29.7404,0.475
8743000,19,-149.688,-6089.96,21.3091,0.478
8744000,15,-122.434,-6094.76,20.5004,0.490636
8745000,17,-121.297,-6091.02,14.2808,0.46
8746000,17,-121.343,-6074.35,8.92601,0.491
8747000,10,-125.88,-6048.96,9.76703,0.486429
8748000,14,-122.803,-6046.62,12.6301,0.482286
8749000,18,-119.761,-6045.75,14.9607,0.489
8750000,13,-145.357,-6080.58,7.80912,0.464857
8751000,19,-135.188,-6064.53,14.3028,0.495
8752000,17,-129.417,-6068.57,12.3681,0.4764
8753000,23,-129.111,-6105.37,14.6568,0.475429
8754000,22,-141.922,-6088.05,12.8923,0.482667
8755000,17,-147.038,-6099.23,16.3893,0.481
8756000,19,-140.56,-6125.27,17.735,0.506333
8757000,12,-145.703,-6137.73,14.8295,0.499
8758000,14,-145.85,-6124.26,16.953,0.508
8759000,19,-129.326,-6132.03,18.9607,0.481
8760000,15,-132.797,-6090.39,10.8487,0.494273
8761000,22,-142.938,-6063.45,25.3764,0.475833
8762000,24,-157.216,-6074.04,25.8479,0.481
8763000,23,-152.088,-6072.61,27.3213,0.475
8764000,15,-119.35,-6077.73,12.0168,0.486
8765000,20,-127.026,-6083.08,16.0529,0.472
8766000,27,-116.336,-6103.94,22.9648,0.491
8767000,25,-114.712,-6111.66,29.4425,0.488
8768000,25,-116.964,-6084.43,18.3534,0.483
8769000,28,-113.794,-6068.53,35.0756,0.464
8770000,32,-113.016,-6059.73,40.2286,0.495
8771000,28,-115.015,-6062.02,29.5967,0.48
8772000,22,-133.431,-6091.18,18.8424,0.488462
8773000,18,-120.537,-6090.48,14.5806,0.491
8774000,14,-125.975,-6080.71,16.8734,0.487
8775000,16,-129.147,-6076.06,11.5606,0.468
8776000,20,-123.383,-6062.89,19.6662,0.494
8777000,19,-124.224,-6069.17,14.7893,0.473
8778000,20,-126.566,-6074.15,16.2033,0.507
8779000,20,-121.366,-6101.56,21.1128,0.496
8780000,20,-113.461,-6102.94,16.8261,0.483
8781000,14,-120.995,-6100.71,13.7687,0.503
8782000,24,-127.824,-6109.95,25.0294,0.4952
8783000,19,-130.964,-6110.86,25.8827,0.467
8784000,19,-132.315,-6100.98,11.2102,0.49
8785000,24,-133.587,-6114.91,20.5474,0.489
8786000,20,-131.72,-6095.96,21.8378,0.493
8787000,19,-131.891,-6085.4,25.1848,0.459
8788000,33,-120.698,-6052.82,39.5423,0.483929
8789000,34,-120.245,-6031.42,35.8545,0.471
8790000,34,-110.043,-6048.89,36.1335,0.491
8791000,37,-114.332,-6064.35,27.4604,0.472
8792000,30,-119.722,-6058.12,29.0245,0.473
8793000,31,-108.735,-6060.92,24.4596,0.468
8794000,28,-117.645,-6037.12,20.0157,0.506
8795000,35,-119.368,-6036.23,25.2978,0.48
8796000,32,-109.694,-6035.85,34.0694,0.49
8797000,34,-111.045,-6049.29,45.7202,0.463
8798000,34,-107.414,-6032.83,36.464,0.474
8799000,24,-144.512,-6057.86,20.8712,0.488694
8800000,26,-143.767,-6061.1,28.721,0.496
8801000,16,-129.083,-6107.91,22.7439,0.494286
8802000,14,-126.433,-6089.13,10.0828,0.504
8803000,18,-113.878,-6065.61,30.9632,0.474
8804000,9,-115.62,-6079.76,13.6717,0.493
8805000,11,-123.999,-6078.79,11.2097,0.492
8806000,6,-119.462,-6068.96,5.55512,0.483
8807000,3,-121.466,-6075.17,1.0553,0.467
8808000,25,-117.335,-6043.63,20.9062,0.4745
8809000,28,-119.071,-6078.5,25.7865,0.47
8810000,27,-124.08,-6065.52,19.4646,0.504
8811000,23,-122.909,-6073.31,27.5324,0.499
8812000,25,-121.922,-6041.96,23.0127,0.491
8813000,14,-119.234,-6094.54,16.5514,0.490125
8814000,19,-115.914,-6122.77,17.2216,0.494
8815000,19,-114.812,-6104.1,16.6246,0.5
8816000,19,-129.857,-6119.26,17.643,0.485667
8817000,33,-114.976,-6072.43,23.6284,0.4842
8818000,36,-107.829,-6073.03,31.4615,0.495
8819000,34,-110.138,-6050.72,39.0798,0.508
8820000,27,-113.106,-6043.47,23.6857,0.473
8821000,29,-108.312,-6045.38,27.8764,0.466
8822000,27,-111.415,-6067.92,27.4912,0.478
8823000,24,-115.42,-6052.82,17.3987,0.467
8824000,10,-124.625,-6096.21,10.9583,0.487222
8825000,6,-124.334,-6090.99,2.58482,0.497
8826000,12,-126.649,-6064.99,7.63539,0.49
8827000,12,-119.284,-6082.38,10.8171,0.458
8828000,13,-118.808,-6110.81,17.7644,0.476
8829000,17,-116.754,-6093.23,17.457,0.473
8830000,21,-107.392,-6079.31,19.3007,0.482
8831000,26,-109.17,-6049.4,25.5486,0.499
8832000,28,-114.786,-6075.75,28.1889,0.494
8833000,33,-107.026,-6088.06,34.8726,0.47
8834000,37,-150.926,-6079.07,34.4379,0.483735
8835000,16,-119.571,-6086.66,18.4582,0.493684
8836000,24,-111.084,-6064.7,19.2425,0.476
8837000,13,-123.695,-6079.07,13.0894,0.4825
8838000,29,-108.381,-6058.59,23.5571,0.484867
8839000,20,-116.301,-6053.59,20.1923,0.476667
8840000,21,-119.203,-6039.91,15.5316,0.493
8841000,25,-110.742,-6048.63,20.3444,0.493
8842000,28,-108.466,-6036.1,23.5385,0.453
8843000,21,-121.611,-6065.23,20.9704,0.475
8844000,21,-122.879,-6080.92,12.7323,0.461
8845000,20,-122.54,-6051.8,16.5922,0.48
